Country,Velocity,Conversion,Purchased
Banner Ads,116.2828383,0.077795341,2586.099782
Email,110.7430423,0.052953627,3761.502092
Search,124.2611703,0.069350277,6119.402184
Events,23.76195509,0.088924847,5757.40573
Social,121.3438964,0.082486803,5425.634412
Content Syndication,36.78418592,0.089063362,2396.927089
Nurture,30.72647931,0.024148051,6321.727997
Sponsorship,55.1225619,0.038953872,5938.497076
Display,143.331883,0.00218722,8178.076695
Retargetting,11.36239154,0.087794138,8414.072599
Newsletter Sponsorship,4.462671548,0.086061509,1503.153609
